id,name,description,material_category_id,alternative_names,scientific_name,distribution,variation_name,custom_id,version,is_verified,source,ingredients,created_at,updated_at,created_by
3287,Duranickel,"Material from Idemat 2025 dataset - ",72,Duranickel,,,,b26fb1b7-a1a7-4a86-8753-9fb8700f5ea0,1,false,Idemat 2025,,2025-07-29 14:51:07.294829,2025-07-29 14:51:07.294846,
3288,Invar,"Material from Idemat 2025 dataset - ",49,Invar,,,,c688d814-9e42-429d-8be6-b25e4d5e290e,1,false,Idemat 2025,,2025-07-29 14:51:08.11426,2025-07-29 14:51:08.114274,
3289,Mumetal,"Material from Idemat 2025 dataset - ",49,Mumetal,,,,fc831ea9-7f1d-49bf-b4a7-defb61b15ae4,1,false,Idemat 2025,,2025-07-29 14:51:08.728726,2025-07-29 14:51:08.728736,
3290,Ni 99.6,"Material from Idemat 2025 dataset - ",72,Ni 99.6,,,,1b34514d-8db0-4a9e-b480-b63e49072d41,1,false,Idemat 2025,,2025-07-29 14:51:09.58759,2025-07-29 14:51:09.587597,
3291,Ni span C902,"Material from Idemat 2025 dataset - ",72,Ni span C902,,,,b4138815-119c-4891-a012-a2d755d48b97,1,false,Idemat 2025,,2025-07-29 14:51:10.393844,2025-07-29 14:51:10.39386,
3292,NiCr 80 20,"Material from Idemat 2025 dataset - ",72,NiCr 80 20,,,,52791f2c-8950-404c-80b0-eae589322006,1,false,Idemat 2025,,2025-07-29 14:51:11.123577,2025-07-29 14:51:11.123585,
3293,NiCr20Co18Ti,"Material from Idemat 2025 dataset - ",72,NiCr20Co18Ti,,,,29f0c939-10ca-4a21-8bdb-a76b42e60e91,1,false,Idemat 2025,,2025-07-29 14:51:11.627447,2025-07-29 14:51:11.62746,
3294,NiCr20TiAl,"Material from Idemat 2025 dataset - ",72,NiCr20TiAl,,,,2d4b27e0-454c-431b-a948-845a1b6eef1b,1,false,Idemat 2025,,2025-07-29 14:51:12.100343,2025-07-29 14:51:12.10035,
3295,NiCu30Al,"Material from Idemat 2025 dataset - ",72,NiCu30Al,,,,b3f14e78-cd71-4260-bc91-5feadf10ab82,1,false,Idemat 2025,,2025-07-29 14:51:12.587825,2025-07-29 14:51:12.587829,
3296,NiCu30Fe,"Material from Idemat 2025 dataset - ",72,NiCu30Fe,,,,ee932ed6-3d8e-41fc-abe8-d4eec588da18,1,false,Idemat 2025,,2025-07-29 14:51:13.066346,2025-07-29 14:51:13.066359,
3297,NiFe 50 50,"Material from Idemat 2025 dataset - ",72,NiFe 50 50,,,,8b236e60-5848-4777-9fd5-ad55913679ba,1,false,Idemat 2025,,2025-07-29 14:51:13.55926,2025-07-29 14:51:13.559275,
3298,NiMo30,"Material from Idemat 2025 dataset - ",72,NiMo30,,,,68feed9d-1da7-4d36-98a2-d6be5eb44c63,1,false,Idemat 2025,,2025-07-29 14:51:14.074775,2025-07-29 14:51:14.074786,
3299,Supermalloy,"Material from Idemat 2025 dataset - ",49,Supermalloy,,,,90d0d28f-4542-44b3-980c-bcc8cb170e12,1,false,Idemat 2025,,2025-07-29 14:51:14.600274,2025-07-29 14:51:14.600279,
3300,TiAl5Sn2,"Material from Idemat 2025 dataset - ",65,TiAl5Sn2,,,,baa227ff-4334-46c3-a62b-ace388652443,1,false,Idemat 2025,,2025-07-29 14:51:15.161829,2025-07-29 14:51:15.161844,
3301,TiAl6V4,"Material from Idemat 2025 dataset - ",65,TiAl6V4,,,,0ba88cff-d441-4b61-ae58-cad0b6e968bd,1,false,Idemat 2025,,2025-07-29 14:51:15.669527,2025-07-29 14:51:15.669532,
